[2021-07-10 16:53:11,130][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
[2021-07-10 16:53:11,132][MainThread:13216][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:53:11,133][MainThread:13216][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:53:11,134][MainThread:13216][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:53:11,134][MainThread:13216][task_id:interface_case][common_method.py:132][DEBUG][]
[2021-07-10 16:53:11,145][MainThread:13216][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:53:11,145][MainThread:13216][task_id:interface_case][test_renovation.py:209][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:53:11,146][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:53:11,225][MainThread:13216][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
[2021-07-10 16:53:11,228][MainThread:13216][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:53:11,230][MainThread:13216][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:53:11,231][MainThread:13216][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:53:11,232][MainThread:13216][task_id:interface_case][common_method.py:132][DEBUG][]
[2021-07-10 16:53:11,244][MainThread:13216][task_id:interface_case][test_renovation.py:35][INFO][------------------专项整治相关接口测试结束----------------------]
[2021-07-10 16:54:40,736][MainThread:22728][task_id:interface_case][test_renovation.py:19][INFO][------------------专项整治相关接口测试开始----------------------]
[2021-07-10 16:54:40,739][MainThread:22728][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:54:40,833][MainThread:22728][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /uums/auth/token HTTP/1.1" 200 None]
[2021-07-10 16:54:40,837][MainThread:22728][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:54:40,837][MainThread:22728][task_id:interface_case][test_renovation.py:202][INFO][>>>>获取人员信息]
[2021-07-10 16:54:40,839][MainThread:22728][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:54:44,306][MainThread:22728][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/user/users HTTP/1.1" 200 None]
[2021-07-10 16:54:44,570][MainThread:22728][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:54:44,571][MainThread:22728][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:54:44,573][MainThread:22728][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:54:44,655][MainThread:22728][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
[2021-07-10 16:54:44,658][MainThread:22728][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:54:44,658][MainThread:22728][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:54:44,659][MainThread:22728][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:54:44,659][MainThread:22728][task_id:interface_case][common_method.py:132][DEBUG][]
[2021-07-10 16:54:44,673][MainThread:22728][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:54:44,673][MainThread:22728][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:54:44,674][MainThread:22728][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:54:44,755][MainThread:22728][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
